f=center_nickel.Spe,m=0.0874,i=58CO,E0_D2=102.6,dx=0.0,dy=0.0,dz=8.5,R_src=11.0,R_smpl=5.5,elbow=0
*************
c=eu_calib.Spe,i=152EU,a0=39.368E3,d=2009:01:15::12:00:00
*************
start=2018:03:12::9:28:00,stop=2018:03:12::22:33:00
start=2018:03:13::9:44:00,stop=2018:03:13::22:30:00
start=2018:03:14::9:22:00,stop=2018:03:14::22:30:00
start=2018:03:15::9:24:00,stop=2018:03:15::18:17:00
start=2018:03:15::20:12:00,stop=2018:03:15::22:44:00
start=2018:03:16::9:32:00,stop=2018:03:16::23:07:00
start=2018:03:19::9:09:00,stop=2018:03:19::20:04:00
start=2018:03:20::9:04:00,stop=2018:03:20::22:28:00
start=2018:03:21::9:09:00,stop=2018:03:21::20:10:00
start=2018:03:22::8:58:00,stop=2018:03:22::11:22:00
start=2018:03:22::12:10:00,stop=2018:03:22::14:25:00
start=2018:03:22::14:34:00,stop=2018:03:22::14:58:00
start=2018:03:22::15:07:00,stop=2018:03:22::15:20:00
start=2018:03:22::17:14:00,stop=2018:03:22::21:25:00
start=2018:03:22::21:31:00,stop=2018:03:22::22:34:00
start=2018:03:23::9:26:00,stop=2018:03:23::10:41:00
start=2018:03:23::10:50:00,stop=2018:03:23::14:45:00
start=2018:03:23::14:52:00,stop=2018:03:23::14:56:00
start=2018:03:23::15:01:00,stop=2018:03:23::21:47:00
start=2018:03:23::21:50:00,stop=2018:03:23::22:30:00
start=2018:03:27::11:04:00,stop=2018:03:27::17:29:00
start=2018:03:28::12:20:00,stop=2018:03:28::12:55:00
start=2018:03:28::12:59:00,stop=2018:03:28::13:04:00
start=2018:03:28::13:13:00,stop=2018:03:28::13:50:00
start=2018:03:28::13:54:00,stop=2018:03:28::14:50:00
start=2018:03:28::14:54:00,stop=2018:03:28::17:00:00
start=2018:03:29::9:42:00,stop=2018:03:29::10:00:00
start=2018:03:29::14:29:00,stop=2018:03:29::17:13:00
start=2018:03:30::9:59:00,stop=2018:03:30::11:47:00
start=2018:03:30::13:14:00,stop=2018:03:30::16:35:00
